-1.3, 1.00E-17, -3.59E-05, 17
-1.3, 1.00E-18, -1.79E-05, 18
-1.3, 1.00E-19, -8.97E-06, 19
-1.3, 1.00E-20, -8.97E-06, 19
-1.2, 1.00E-01, -5.13E-01, 3
-1.2, 1.00E-02, -2.58E-01, 4
-1.2, 1.00E-03, -1.29E-01, 5
-1.2, 1.00E-04, -6.45E-02, 6
-1.2, 1.00E-05, -3.22E-02, 7
-1.2, 1.00E-06, -1.61E-02, 8
-1.2, 1.00E-07, -1.61E-02, 8
-1.2, 1.00E-08, -8.06E-03, 9
-1.2, 1.00E-09, -4.03E-03, 10
-1.2, 1.00E-10, -2.01E-03, 11
-1.2, 1.00E-11, -1.01E-03, 12
-1.2, 1.00E-12, -5.04E-04, 13
-1.2, 1.00E-13, -5.04E-04, 13
-1.2, 1.00E-14, -2.52E-04, 14
-1.2, 1.00E-15, -1.26E-04, 15
-1.2, 1.00E-16, -6.30E-05, 16
-1.2, 1.00E-17, -3.15E-05, 17
-1.2, 1.00E-18, -3.15E-05, 17
-1.2, 1.00E-19, -1.57E-05, 18
-1.2, 1.00E-20, -7.87E-06, 19
-1.1, 1.00E-01, -3.89E-01, 3
-1.1, 1.00E-02, -1.94E-01, 4
-1.1, 1.00E-03, -9.72E-02, 5
-1.1, 1.00E-04, -9.72E-02, 5
-1.1, 1.00E-05, -4.86E-02, 6
-1.1, 1.00E-06, -2.43E-02, 7
-1.1, 1.00E-07, -1.21E-02, 8
-1.1, 1.00E-08, -6.07E-03, 9
-1.1, 1.00E-09, -3.04E-03, 10
-1.1, 1.00E-10, -3.04E-03, 10
-1.1, 1.00E-11, -1.52E-03, 11
-1.1, 1.00E-12, -7.59E-04, 12
-1.1, 1.00E-13, -3.80E-04, 13
-1.1, 1.00E-14, -1.90E-04, 14
-1.1, 1.00E-15, -9.49E-05, 15
-1.1, 1.00E-16, -9.49E-05, 15
-1.1, 1.00E-17, -4.74E-05, 16
-1.1, 1.00E-18, -2.37E-05, 17
-1.1, 1.00E-19, -1.19E-05, 18
-1.1, 1.00E-20, -5.93E-06, 19
-1.0, 1.00E-01, -5.43E-01, 2
-1.0, 1.00E-02, -2.74E-01, 3
-1.0, 1.00E-03, -1.37E-01, 4
-1.0, 1.00E-04, -6.86E-02, 5
-1.0, 1.00E-05, -3.43E-02, 6
-1.0, 1.00E-06, -1.71E-02, 7
-1.0, 1.00E-07, -1.71E-02, 7
-1.0, 1.00E-08, -8.57E-03, 8
